CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109108050;SAN PABLO D Y E;San Pablo - Santa Justa;764;75802.01221;-5.9593;37.39783
4109109030;COLORES ENTREPARQUES;Este;1943;344859.3564;-5.92374;37.39379
4109109016;COLORES ENTREPARQUES;Este;1957;122067.7012;-5.91478;37.40717
4109109043;PARQUE ALCOSA JARDINES DEL EDEN;Este;1245;99657.08691;-5.91856;37.40844
4109109020;TORREBLANCA;Este;1026;209377.9661;-5.89818;37.3822
4109109050;COLORES ENTREPARQUES;Este;2047;167656.2207;-5.92088;37.40017
4109109045;COLORES ENTREPARQUES;Este;1099;121110.6375;-5.91741;37.39401
4109109009;PALACIO DE CONGRESOS URBADIEZ ENTREPUENTES;Este;708;206820.0317;-5.9472;37.40678
4109108036;SANTA CLARA;San Pablo - Santa Justa;1888;397497.073;-5.95389;37.39864
4109109018;TORREBLANCA;Este;1726;16994011.67;-5.86762;37.39472
